time;error
4.4900;0.141134
4.4952;0.139804
4.4975;0.140081
5.5051;0.135358
5.5123;0.104433
5.5156;0.0748394
5.5203;0.0506951
5.5255;0.0369154
5.5287;0.0210273
5.5388;0.00423328
5.5395;-0.00430271
5.5444;-0.00815971
5.5522;-0.012709
5.5534;-0.0143231
5.5653;-0.0146402
5.5724;0.000822721
5.5757;0.00898491
5.5838;0.0147534
5.5838;0.019551
5.5907;0.0199338
5.5951;0.0210547
5.5994;0.0192421
6.6059;0.0172172
6.6140;0.0137547
6.6141;0.0127255
6.6213;0.0122382
6.6258;0.0030481
6.6311;0.00110091
6.6360;-0.000367671
6.6411;-0.000528868
6.6460;0.000157293
6.6515;0.000754132
6.6576;0.00165153
6.6591;0.00172193
6.6700;0.00172107
6.6772;0.000581081
6.6775;-6.33976e-05
6.6839;-0.00133237
6.6911;-0.00177255
6.6916;-0.00212011
6.6965;-0.00232655
7.7026;-0.00236673
7.7074;-0.00224148
7.7119;-0.00212841
7.7205;-0.00158362
7.7232;-0.00118563
7.7289;-0.00092634
7.7331;-0.000556742
7.7416;-0.000340318
7.7417;-0.000277719
7.7470;0.00126009
7.7541;0.00217662
7.7596;0.0023527
7.7644;0.00203783
7.7691;0.0018903
7.7733;0.00169375
7.7777;0.00250111
7.7823;0.00399297
7.7896;0.00892793
7.7982;0.0144701
8.8060;0.0171372
8.8095;0.0444173
8.8146;0.0551077
8.8220;0.0649224
8.8271;0.0748394
8.8323;0.0863658
8.8387;0.0928239
8.8390;0.0913581
8.8433;0.0838221
8.8517;0.0773103
8.8567;0.0623597
8.8581;0.0595629
8.8649;0.0561693
8.8717;0.0147869
8.8783;0.00885722
8.8791;0.000261579
8.8868;-0.00278643
8.8881;0.00677952
8.8941;0.0283281
9.9003;0.0445662
9.9047;0.0589062
9.9081;0.0599612
9.9164;0.0622178
9.9185;0.0755032
9.9277;0.0804774
9.9308;0.0745456
9.9359;0.0622162
9.9408;0.0483381
9.9446;0.0397019
9.9513;0.0266531
9.9559;0.0179224
9.9590;0.014686
9.9649;0.0121394
9.9722;0.0124237
9.9760;0.0120494
9.9833;0.0216019
9.9888;0.0263705
9.9958;0.0287601
10.10003;0.0288012
10.10010;0.0278158
10.10064;0.0269835
10.10152;0.0253895
10.10163;0.0173964
10.10245;0.00897734
10.10291;0.00446662
10.10313;0.00168488
10.10389;0.000367548
